Priority_Rank,S.No,Item name,Brand_Name,Category,Sub_Category,Ingredients,Serving_Size_g,Sugar_g,Total_Fat_g,OFF_UK_Barcode,OFF_UK_Match_Found_Y_N,Indian_Label_Verified_Y_N,Verification_Source_URL,Notes
1,184,7 Up Lemon Soft Drink,7 UP,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulators (330,Acidity Regulators 331,Acidity Regulators 296), Preservative (211)",100.0,11.7,0,,,,,
2,185,7UP Nimbooz Soft Drink,7 UP NIMBOOZ,JUICE,SODA,"Water, Sugar, Concentrated Lemon Juice (0.7%), Acidity Regulators 331(Iii),Acidity Regulators 296,Acidity Regulators 330, Flavour (Natural Flavouring Substances), Iodised Salt, Stabilizer (445(Iii)), Preservative (202)",100.0,10.6,0,,,,,
3,705,Betty Crocker Triple Chocolate Brownie Instant Cake Mix Powder,BETTY CROCKER,INSTANT FOOD,CAKE MIX,"Sugar, Refined Wheat Flour (Maida), Cocoa Powder (6.35%), Dark Compound Choco Chips (6.0%) (Sugar, Cocoa Solids, Hydrogenated Vegetable Oil (Palm), Dextrose, Emulsifier (Ins492, Ins322)), White Compound Chips (6%) (Sugar, Milk Solids, Edible Vegetable Fat (Palm), Emulsifier (Ins322)), Edible Vegetable Oil (Palm), Iodized Salt, Raising Agent (Is341(Ii)), Stabilizer (Ins415)",100.0,54.3,4.6,,,,,
4,593,Bournvita Biscuits,CADBURY,BISCUIT,BISCUIT,"Refined Wheat Flour (Maida) (56%), Sugar, Palmolein oil, Cereal Based Beverage Mix 5% [Cereal Extract (Barley, Millets, Wheat), Sugar, Cocoa Solids, Maltodextrin, Colour (15c), Minerals, Wheat Gluten, Liquid Glucose, Emulsifiers (322, 471), Milk Solids, Vitamins, Raising Agent (5(ii))], Flavours (Natural, Nature Identical and Artificial (VANILLA CAKE) Flavouring",100.0,28.3,15.3,,,,,
5,391,Bounty Miniatures Coconut Filled Chocolate Pack,BOUNTY,CHOCOLATE,CHOCOLATE BAR,"Milk chocolate coating (44%) (Sugar, Milk solids, Cocoa butter, Cocoa solids, Edible vegetable fat less than 5% (Palm oil). Emulsifier (322)); Centre filling (Desiccated coconut (18%), Sugar Liquid glucose, Emulsifier (471). Hu,ectant (422), Salt)",100.0,50,25.8,,,,,
6,401,Cadbury Bournville Cranberry 50% Dark CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Butter (24%), Cocoa Solids (18%), Dried Sweetened Cranberries (11%) (Cranberries, Sugar), Almonds (7%), Milk Solids, Emulsifiers (442, 476), Flavours (Natural and Nature Identical Flavouring Substances)",100.0,45.7,31.6,,,,,
7,402,Cadbury Bournville Fruit & Nut 50% Dark CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Butter (24%), Cocoa Solids (18%), Raisins (75%), Cashew Nuts (4%), Apricot Kernels (4%), Milk Solids, Emulsifiers (442, 476), Nature Identical Flavoring Substance",100.0,44.2,32.8,,,,,
8,400,Cadbury Bournville Rich Cocoa 70% Dark CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Cocoa Butter, Cocoa Solids, Emulsifiers (442, 476), Milk Solids, Nature Identical Flavouring Substances, and Sugar",100.0,20.4,47.4,,,,,
9,386,Cadbury Temptations Almond Treat Premium CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE BAR,"Sugar, Almonds (17%), Cocoa Butter, Milk Solids, Cocoa Solids, Fractionated Fat, Emulsifiers (442,476), Flavours (Natural, Nature Identical And Artificial (VANILLA CAKE) Flavouring Substances). Contains Cocoa Butter Equivalent In Addition To Cocoa Butter.Allergen Information: Contains Milk, Almonds, Soy May Contain Other Tree Nuts",100.0,45.2,35,,,,,
10,389,Cadbury Temptations Rum & Raisins Premium CHOCOLATE BAR,CADBURY,CHOCOLATE,CHOCOLATE,"Sugar, Raisins (18%), Cocoa Butter, Cocoa Solids, Milk Solids, Fractionated Fat, Emulsifiers (442, 476), Flavours (Natural, Nature Identical, and Artificial (Rum, Raisin, VANILLA CAKE) Flavouring Substances)",100.0,57,26,,,,,
